Category,Subcategory_Or_Type,Item_Value,Description_Or_Mapping
Voltage Level,,115,115 kV High Voltage Transmission / Substation
Voltage Level,,33,33 kV Medium Voltage Distribution
Voltage Level,,22,22 kV Medium Voltage Distribution
Voltage Level,,0.4,0.4 kV Low Voltage (400V)
Location Type,,Substation,Substation Indoor/Outdoor Bay
Location Type,,Distribution Line,Distribution Feeder Circuit / Underground Distribution
Location Type,,Transmission Line,High Voltage Transmission Feeder
PEA Regional Area,,N1,"Northern Area 1 (Chiang Mai, Chiang Rai, Lampang, Lamphun, Mae Hong Son, Phayao)"
PEA Regional Area,,N2,"Northern Area 2 (Phitsanulok, Kamphaeng Phet, Nan, Phichit, Phrae, Sukhothai, Tak, Uttaradit)"
PEA Regional Area,,N3,"Northern Area 3 (Lop Buri, Chai Nat, Nakhon Sawan, Phetchabun, Sing Buri, Uthai Thani)"
PEA Regional Area,,NE1,"Northeastern Area 1 (Udon Thani, Bueng Kan, Khon Kaen, Loei, Nakhon Phanom, Nong Bua Lamphu, Nong Khai, Sakon Nakhon)"
PEA Regional Area,,NE2,"Northeastern Area 2 (Ubon Ratchathani, Amnat Charoen, Kalasin, Maha Sarakham, Mukdahan, Roi Et, Sisaket, Yasothon)"
PEA Regional Area,,NE3,"Northeastern Area 3 (Nakhon Ratchasima, Buri Ram, Chaiyaphum, Surin)"
PEA Regional Area,,C1,"Central Area 1 (Phra Nakhon Si Ayutthaya, Ang Thong, Nakhon Nayok, Pathum Thani, Prachin Buri, Sa Kaeo, Saraburi)"
PEA Regional Area,,C2,"Central Area 2 (Chon Buri, Chachoengsao, Chanthaburi, Rayong, Trat)"
PEA Regional Area,,C3,"Central Area 3 (Nakhon Pathom, Kanchanaburi, Samut Sakhon, Suphan Buri)"
PEA Regional Area,,S1,"Southern Area 1 (Phetchaburi, Chumphon, Prachuap Khiri Khan, Ranong, Ratchaburi, Samut Songkhram)"
PEA Regional Area,,S2,"Southern Area 2 (Nakhon Si Thammarat, Krabi, Phang Nga, Phuket, Surat Thani, Trang)"
PEA Regional Area,,S3,"Southern Area 3 (Yala, Narathiwat, Pattani, Phatthalung, Satun, Songkhla)"
Equipment Type,,Underground Cable,Primary High/Medium Voltage Power Cable
Equipment Type,,Oil Insulated Termination,Fluid/Oil-filled Outdoor Cable Termination
Equipment Type,,Joint,Straight / Transition Cable Joint
Equipment Type,,GND Link box,Grounding Link / Sheath Cross-Bonding Box
Equipment Type,,Lightning Arrester,Surge & Lightning Protection Arrester
Equipment Type,,Heat Shrink Termination,Medium Voltage Heat Shrink Cable Termination (22/33kV)
Equipment Type,,Plug in Termination,Separable Connector / Plug-in Cable Termination
Equipment Type,,Air Break Switch,Overhead / Substation Disconnecting Switch
Equipment Type,,Dry Type Termination,Dry Self-Supporting / Polymer Termination
Equipment Type,,Ring Main Unit,Compact Secondary Distribution Switchgear (RMU)
Equipment Type,,Unit Substation,Prefabricated Compact Unit Substation (CSS)
Equipment Type,,HV ATS,High Voltage Automatic Transfer Switch
Equipment Type,,LV ATS,Low Voltage Automatic Transfer Switch
Equipment Type,,Distribution Circuit,Power Distribution Circuit Line
Manufacturer,Underground Cable,Bangkok Cable (BCC),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,Phelps Dodge (PHD),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,Venine (V9),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,Charoong Thai Wire and Cable (CTW),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,Thai Yazaki (TYZ),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,Erawan (ERW),Cable Manufacturer (Thailand)
Manufacturer,Underground Cable,NKT,Cable Manufacturer (Denmark/Germany)
Manufacturer,Underground Cable,Others,Other Approved Cable Manufacturer
Manufacturer,Underground Cable,Unknown,Unidentified / Missing Nameplate
Manufacturer,Oil Insulated Termination,PFISTERER,Termination Manufacturer (Germany/Switzerland)
Manufacturer,Oil Insulated Termination,Tyco Raychem,Termination Manufacturer (USA/Germany)
Manufacturer,Oil Insulated Termination,G&W,Termination Manufacturer (USA)
Manufacturer,Oil Insulated Termination,Arkasil,Termination Manufacturer (Russia/Switzerland)
Manufacturer,Oil Insulated Termination,NKT,Termination Manufacturer (Germany/Denmark)
Manufacturer,Oil Insulated Termination,Brugg,Termination Manufacturer (Switzerland)
Manufacturer,Oil Insulated Termination,Changlan,Termination Manufacturer (China)
Manufacturer,Oil Insulated Termination,Sudkabel,Termination Manufacturer (Germany)
Manufacturer,Oil Insulated Termination,Centuray,Termination Manufacturer (China)
Manufacturer,Oil Insulated Termination,Joslyn,Termination Manufacturer (USA)
Manufacturer,Oil Insulated Termination,ABB Kabeldon,Termination Manufacturer (Sweden/Switzerland)
Manufacturer,Oil Insulated Termination,BICC,Termination Manufacturer (UK)
Manufacturer,Oil Insulated Termination,Pirelli,Termination Manufacturer (Italy)
Manufacturer,Oil Insulated Termination,ATPIAS,Termination Manufacturer (International)
Manufacturer,Oil Insulated Termination,CCC,Termination Manufacturer (International)
Manufacturer,Oil Insulated Termination,Fujian,Termination Manufacturer (China)
Manufacturer,Oil Insulated Termination,Nexans,Termination Manufacturer (France)
Manufacturer,Oil Insulated Termination,Sumitomo,Termination Manufacturer (Japan)
Manufacturer,Oil Insulated Termination,Others,Other Termination Manufacturer
Manufacturer,Oil Insulated Termination,Unknown,Unidentified / Missing Nameplate
